#From 1302.5424
#Redshift  NHI    e(NHI)    [X/H]    e([X/H])
# 0.3542    16.11   0.09     <-1.30 		     
 0.4256    16.17   0.06     -1.40  0.20	 
# 0.3878    16.18   0.05     < -1.40		     
 0.1385    16.20   0.05     -0.50          
 0.5185    16.22   0.02     -0.40      0.05
 0.5574    16.24   0.03     -1.05      0.05
 0.6153    16.28   0.04     -0.30      0.05
 0.3488    16.30   0.13     -0.65      0.15
 0.5346    16.34   0.23     -0.20  0.20   
 0.6828    16.38   0.02     -1.80  0.30	 
# 0.2823    16.40   0.05     <-1.65
 0.2889    16.40   0.07     -0.65      0.10
 0.6865    16.45   0.05     +0.10  0.10	 
 0.1672    16.45   0.05     +0.10
 0.2694    16.48   0.05     -1.60       0.1
 0.4685    16.48   0.04      -0.50  0.1    
 0.2261    16.61   0.17     -0.80     0.25
 0.3730    16.65   0.07     -1.85     0.10
# 0.7292    16.66   0.05    <-2.00
 0.7392    16.72   0.03     -1.45      0.05
# 0.3451    16.90   0.08   < -1.50
 0.2740    16.98   0.05     -1.71      0.06
 0.9270    17.00   0.10     +0.30          
# 0.0985    17.00   0.20   < -1.60
 1.0400    17.30   0.30     -1.50      0.20
 0.0810    17.98   0.05     -0.19      0.08
 0.2026    18.22   0.20     -0.60      0.15
 0.6610    18.30   0.30     -1.69      0.37
 0.3588    18.40   0.20     -0.40  0.20	 
 0.9110    19.04   0.04     +0.68      0.08
# 0.8514    19.08   0.04    <-0.47
# 0.8730    19.18   0.09     <-0.14
# 0.9513    19.28   0.02    <-0.66
# 1.0023    19.30   0.05    <+0.20
 0.1140    19.32   0.10     -0.37    0.10
 0.0063    19.32   0.03     -1.60    0.10
 0.1538    19.35   0.15     +0.31    0.17
# 0.9424    19.38   0.13    <-0.41
# 0.8514    19.40   0.02    <-0.46
# 0.9376    19.41   0.02    <-0.37
 0.8866    19.48   0.05     +0.24      0.15
 0.0830    19.55   0.15     -1.10      0.16
 0.2477    19.55   0.15     -0.29      0.17
# 0.9004    19.70   0.04    <-0.15
# 0.7714    19.70   0.09    <-0.34
 0.6798    19.70   0.30     +0.07      0.34
 0.2027    19.80   0.10     -0.41      0.16
# 1.0318    19.81   0.13     <-0.5    	     
 0.7821    19.81   0.09     +0.28      0.16
# 0.8420    19.93   0.12    <-0.36  	    	 
# 0.6321    19.95   0.07    <-0.20 	    	 
# 0.7089    20.04   0.06    <-0.18 	    	 
 0.7377    20.08   0.11     -0.05     0.12
# 1.0929    20.08   0.06     <-0.80	    	 
# 0.8426    20.20   0.06     <-0.98		     
# 0.9746    20.20   0.07    <-1.14 		     
 0.7160    20.21   0.20     +0.61      0.20
# 0.9542    20.26   0.14   < -0.51    	 
 0.6520    20.32   0.07     -0.49      0.22
 1.0090    20.36   0.11     -0.73      0.12
 0.6560    20.36   0.10     -0.87      0.25
 0.6820    20.45   0.05     -1.00      0.15
 0.7156    20.54   0.15     +0.12      0.26
 0.0963    20.55   0.10     -0.63      0.13
 0.3213    20.60   0.20     -0.35      0.23
# 0.6825    20.60   0.12    <-0.08        
 0.1140    20.68   0.10     -0.58      0.16
 0.8600    20.69   0.06     -0.79      0.12
 0.7250    20.70   0.15     -0.11      0.04
 0.7252    20.70   0.22     -0.13      0.24
 0.9981    20.70   0.04     -0.44      0.07
# 0.9111    20.70   0.10    <-0.93        
 0.3950    20.75   0.07     -0.47      0.15
# 0.6316    20.78   0.12    <-0.35        
 1.0072    20.98   0.07     -0.96      0.08
 0.7400    21.00   0.03     -0.54      0.20
 1.0373    21.15   0.24     -0.51      0.24
 0.9445    21.16   0.05     -0.56      0.06
 0.6019    21.20   0.10     -0.80      0.20
 0.6920    21.25   0.06     -1.20      0.09
 0.7728    21.38   0.12     -0.78      0.14
 1.0306    21.41   0.03     -1.36      0.08
 0.6043    21.54   0.15     -0.92      0.32
 0.5240    21.65   0.15     -0.58      0.15
