#  , subDLAs (19.0 < logNHI < 20.3)                                          , DLAs (20.3 < logNHI < 22.0)
# z, omegaDLA5, omegaDLA17, omegaDLAmedian, omegaDLA83, omegaDLA95, omegaDLA5, omegaDLA17, omegaDLAmedian, omegaDLA83, omegaDLA95
2.004999999999999893e+00 1.369999999999999961e-04 1.510000000000000112e-04 1.759999999999999954e-04 2.010000000000000068e-04 2.210000000000000050e-04 6.920000000000000153e-04 7.200000000000000453e-04 7.619999999999999820e-04 8.080000000000000160e-04 8.409999999999999507e-04
2.015000000000000124e+00 1.359999999999999989e-04 1.499999999999999869e-04 1.740000000000000010e-04 1.990000000000000124e-04 2.190000000000000106e-04 6.930000000000000396e-04 7.209999999999999612e-04 7.630000000000000063e-04 8.080000000000000160e-04 8.409999999999999507e-04
2.024999999999999911e+00 1.369999999999999961e-04 1.520000000000000084e-04 1.759999999999999954e-04 2.020000000000000040e-04 2.210000000000000050e-04 6.949999999999999798e-04 7.230000000000000098e-04 7.649999999999999465e-04 8.099999999999999561e-04 8.429999999999999993e-04
2.035000000000000142e+00 1.359999999999999989e-04 1.510000000000000112e-04 1.749999999999999982e-04 2.000000000000000096e-04 2.200000000000000078e-04 6.939999999999999555e-04 7.219999999999999855e-04 7.640000000000000306e-04 8.080000000000000160e-04 8.409999999999999507e-04
2.044999999999999929e+00 1.369999999999999961e-04 1.520000000000000084e-04 1.759999999999999954e-04 2.010000000000000068e-04 2.200000000000000078e-04 6.859999999999999779e-04 7.129999999999999836e-04 7.540000000000000044e-04 7.979999999999999897e-04 8.310000000000000329e-04
2.055000000000000160e+00 1.389999999999999905e-04 1.540000000000000028e-04 1.779999999999999898e-04 2.030000000000000012e-04 2.229999999999999994e-04 6.849999999999999535e-04 7.129999999999999836e-04 7.540000000000000044e-04 7.969999999999999654e-04 8.300000000000000086e-04
2.064999999999999947e+00 1.389999999999999905e-04 1.540000000000000028e-04 1.779999999999999898e-04 2.030000000000000012e-04 2.220000000000000022e-04 6.870000000000000022e-04 7.140000000000000079e-04 7.550000000000000287e-04 7.979999999999999897e-04 8.300000000000000086e-04
2.075000000000000178e+00 1.379999999999999933e-04 1.530000000000000056e-04 1.759999999999999954e-04 2.010000000000000068e-04 2.210000000000000050e-04 6.840000000000000377e-04 7.110000000000000434e-04 7.519999999999999558e-04 7.950000000000000252e-04 8.270000000000000441e-04
2.084999999999999964e+00 1.379999999999999933e-04 1.530000000000000056e-04 1.759999999999999954e-04 2.010000000000000068e-04 2.200000000000000078e-04 6.819999999999999890e-04 7.079999999999999705e-04 7.489999999999999913e-04 7.919999999999999523e-04 8.249999999999999955e-04
2.095000000000000195e+00 1.369999999999999961e-04 1.520000000000000084e-04 1.759999999999999954e-04 2.000000000000000096e-04 2.190000000000000106e-04 6.880000000000000265e-04 7.159999999999999481e-04 7.569999999999999689e-04 8.000000000000000383e-04 8.319999999999999488e-04
