#NHI      cddf       lower yerr    upper yerr
  19      -21.02     0.08557     0.08841
19.1      -21.04     0.08115      0.0834
19.2      -21.04     0.09075     0.08097
19.3      -21.07      0.0839     0.07845
19.4       -21.1     0.08391     0.07907
19.5      -21.12     0.08528     0.07212
19.6      -21.18     0.08415     0.06949
19.7      -21.25     0.08244     0.07249
19.8      -21.32     0.08706     0.06817
19.9       -21.4      0.0832     0.06719
  20       -21.5     0.08277     0.06876
20.1       -21.6     0.08154     0.06692
20.2      -21.71     0.07943     0.06633
20.3      -21.82     0.07969     0.06806
20.4      -21.95     0.07717     0.06942
20.5      -22.07     0.07818     0.06574
20.6      -22.19     0.07738     0.06681
20.7      -22.34       0.079     0.06536
20.8       -22.5     0.07716     0.06563
20.9      -22.67     0.07826     0.06477
  21      -22.88     0.07766     0.06616
21.1      -23.11     0.07711     0.06838
21.2      -23.37     0.08076     0.06607
21.3      -23.64     0.08183      0.0673
21.4      -23.94     0.08247     0.06769
21.5      -24.25     0.08654     0.07187
21.6      -24.59     0.08432      0.0746
21.7      -24.97     0.09146     0.07909
21.8      -25.35      0.1097      0.0869
21.9      -25.82       0.118     0.08529
  22      -26.43      0.1853      0.1306
22.1      -27.16      0.3474      0.1825
22.2      -28.14      0.6954      0.4273
22.3       -28.4       971.6      0.3639

